ar,aldur,eining,tegund,medaltal,tekjur
2023,16 - 24 ára,99,heildartekjur,4092.1908618023335,13398.182857678428
1990,25 - 54 ára,10,heildartekjur,5760.172527388339,1559.5979468321457
1990,25 - 54 ára,20,heildartekjur,5760.172527388339,2584.9689726499655
1990,25 - 54 ára,30,heildartekjur,5760.172527388339,3261.3691871600395
1990,25 - 54 ára,40,heildartekjur,5760.172527388339,4019.6267524706964
1990,25 - 54 ára,50,heildartekjur,5760.172527388339,4855.433386960852
1990,25 - 54 ára,60,heildartekjur,5760.172527388339,5781.713935493756
1990,25 - 54 ára,70,heildartekjur,5760.172527388339,6871.709185627825
1990,25 - 54 ára,80,heildartekjur,5760.172527388339,8323.600091932889
1990,25 - 54 ára,90,heildartekjur,5760.172527388339,10813.786868919022
1990,25 - 54 ára,99,heildartekjur,5760.172527388339,20869.316172527386
1991,25 - 54 ára,10,heildartekjur,5881.047070848351,1589.2541467175927
1991,25 - 54 ára,20,heildartekjur,5881.047070848351,2629.9332580199757
1991,25 - 54 ára,30,heildartekjur,5881.047070848351,3323.7193322215644
1991,25 - 54 ára,40,heildartekjur,5881.047070848351,4086.0772858500545
1991,25 - 54 ára,50,heildartekjur,5881.047070848351,4941.208958703175
1991,25 - 54 ára,60,heildartekjur,5881.047070848351,5893.147990747216
1991,25 - 54 ára,70,heildartekjur,5881.047070848351,7046.7690211056715
1991,25 - 54 ára,80,heildartekjur,5881.047070848351,8498.879408969462
1991,25 - 54 ára,90,heildartekjur,5881.047070848351,11056.207147596248
1991,25 - 54 ára,99,heildartekjur,5881.047070848351,21112.071583552995
1992,25 - 54 ára,10,heildartekjur,5734.665493747305,1586.927054764985
1992,25 - 54 ára,20,heildartekjur,5734.665493747305,2607.371591203105
1992,25 - 54 ára,30,heildartekjur,5734.665493747305,3266.9745235015093
1992,25 - 54 ára,40,heildartekjur,5734.665493747305,3980.897697283312
1992,25 - 54 ára,50,heildartekjur,5734.665493747305,4791.821302285468
